Campus Area,Area,Device,Browser,Time,Block,Download (Mbps)
North (Buchanan),Outdoor,Phone,Edge,Morning,2,13.68
Middle (Nest/IKB),Indoor,Computer,Chrome,Morning,2,175.5
Middle (Nest/IKB),Indoor,Computer,Edge,Morning,2,152.08
Middle (Nest/IKB),Indoor,Phone,Chrome,Morning,2,194.77
Middle (Nest/IKB),Indoor,Phone,Edge,Morning,2,195.34
Middle (Nest/IKB),Edge,Computer,Chrome,Morning,2,69.66
Middle (Nest/IKB),Edge,Computer,Edge,Morning,2,113.35
Middle (Nest/IKB),Edge,Phone,Chrome,Morning,2,88.12
Middle (Nest/IKB),Edge,Phone,Edge,Morning,2,142.54
Middle (Nest/IKB),Outdoor,Computer,Chrome,Morning,2,57.16
Middle (Nest/IKB),Outdoor,Computer,Edge,Morning,2,54.01
Middle (Nest/IKB),Outdoor,Phone,Chrome,Morning,2,87.26
Middle (Nest/IKB),Outdoor,Phone,Edge,Morning,2,91.18
South (ICICS),Indoor,Computer,Chrome,Morning,2,130.55
South (ICICS),Indoor,Computer,Edge,Morning,2,128.87
South (ICICS),Indoor,Phone,Chrome,Morning,2,194.94
South (ICICS),Indoor,Phone,Edge,Morning,2,93.84
South (ICICS),Edge,Computer,Chrome,Morning,2,122.59
South (ICICS),Edge,Computer,Edge,Morning,2,149.85
South (ICICS),Edge,Phone,Chrome,Morning,2,145.91
South (ICICS),Edge,Phone,Edge,Morning,2,142.01
South (ICICS),Outdoor,Computer,Chrome,Morning,2,103.8
South (ICICS),Outdoor,Computer,Edge,Morning,2,71.86
South (ICICS),Outdoor,Phone,Chrome,Morning,2,60
South (ICICS),Outdoor,Phone,Edge,Morning,2,45.3
North (Buchanan),Indoor,Computer,Chrome,Afternoon,2,195.6
North (Buchanan),Indoor,Computer,Edge,Afternoon,2,193.58
North (Buchanan),Indoor,Phone,Chrome,Afternoon,2,193.62
North (Buchanan),Indoor,Phone,Edge,Afternoon,2,195.6
North (Buchanan),Edge,Computer,Chrome,Afternoon,2,194.89
North (Buchanan),Edge,Computer,Edge,Afternoon,2,179.96
North (Buchanan),Edge,Phone,Chrome,Afternoon,2,195.76
North (Buchanan),Edge,Phone,Edge,Afternoon,2,195.71
North (Buchanan),Outdoor,Computer,Chrome,Afternoon,2,173.76
North (Buchanan),Outdoor,Computer,Edge,Afternoon,2,152.27
North (Buchanan),Outdoor,Phone,Chrome,Afternoon,2,44.87
North (Buchanan),Outdoor,Phone,Edge,Afternoon,2,35.75
Middle (Nest/IKB),Indoor,Computer,Chrome,Afternoon,2,158.31
Middle (Nest/IKB),Indoor,Computer,Edge,Afternoon,2,192.81
Middle (Nest/IKB),Indoor,Phone,Chrome,Afternoon,2,190.48
Middle (Nest/IKB),Indoor,Phone,Edge,Afternoon,2,192.18
Middle (Nest/IKB),Edge,Computer,Chrome,Afternoon,2,107.7
Middle (Nest/IKB),Edge,Computer,Edge,Afternoon,2,19.75
Middle (Nest/IKB),Edge,Phone,Chrome,Afternoon,2,13.66
Middle (Nest/IKB),Edge,Phone,Edge,Afternoon,2,7.51
Middle (Nest/IKB),Outdoor,Computer,Chrome,Afternoon,2,14.88
Middle (Nest/IKB),Outdoor,Computer,Edge,Afternoon,2,14.87
Middle (Nest/IKB),Outdoor,Phone,Chrome,Afternoon,2,14.93
Middle (Nest/IKB),Outdoor,Phone,Edge,Afternoon,2,36.45
South (ICICS),Indoor,Computer,Chrome,Afternoon,2,75.94
South (ICICS),Indoor,Computer,Edge,Afternoon,2,71.43
South (ICICS),Indoor,Phone,Chrome,Afternoon,2,155.53
South (ICICS),Indoor,Phone,Edge,Afternoon,2,191.12
South (ICICS),Edge,Computer,Chrome,Afternoon,2,96.25
South (ICICS),Edge,Computer,Edge,Afternoon,2,89.35
South (ICICS),Edge,Phone,Chrome,Afternoon,2,81.72
South (ICICS),Edge,Phone,Edge,Afternoon,2,68.24
South (ICICS),Outdoor,Computer,Chrome,Afternoon,2,51.75
South (ICICS),Outdoor,Computer,Edge,Afternoon,2,63.32
South (ICICS),Outdoor,Phone,Chrome,Afternoon,2,38.02
South (ICICS),Outdoor,Phone,Edge,Afternoon,2,58.23
